ph,tds,turbidity,temperature,quality
6.979525713468587,91.79930484474221,1.5852911248927177,27.335992743507703,1
6.672301122160493,148.45277863824126,2.8048339712882306,19.57603981566035,1
7.612232234249623,290.259182661507,1.403581257728451,28.71429585739503,1
6.931350652824779,216.50894170603607,0.2917925669332635,23.734166441890117,1
7.442403980538256,224.6090134551357,0.6858701448007788,18.7641444282968,1
7.9544743604842125,96.54867649930819,3.13647942177181,25.035926781840452,1
6.8575664696364536,168.3016257518592,1.688426644178612,25.19400535162888,1
7.473331597124428,173.8661401992765,0.6537987947654947,21.029085642755884,1
6.832998871594294,270.09391453544606,1.6825367722381441,22.99418042047595,1
7.126841423558064,182.7231583719814,1.4097858349178725,26.755224964772626,1
7.54766242575571,50.0,2.1920261554494225,35.0,1
6.913878516296013,262.3479203124266,2.080526640808004,14.927773123302412,1
7.311608610308136,192.65241885320359,0.5998002054384545,23.15964469615065,1
6.767577383836695,200.63041477557826,1.3598591219897411,19.636726607634284,1
5.422907852267647,617.069252934854,15.425941402808306,9.23154161912597,0
4.786762156575402,842.276130929193,4.1,2.0402701889823724,0
6.686803110324572,188.4076336734855,2.325959491026925,23.836816726398116,1
4.735994505100091,976.3492801520024,4.1,4.4220454834676834,0
6.829058746323771,328.3471286646877,1.7699975883720167,28.71271968849948,1
7.352774180892622,304.89339982420995,1.2837279897814649,24.396359037055237,1
6.976431261091365,276.8243837025176,1.514764923495411,18.662505550819514,1
4.629666896410939,607.9106092032237,4.1,4.258498032384705,0
7.176952481186566,50.0,1.2443931707612506,23.735340960355508,1
7.096163459454559,120.80337659583888,0.902553163957061,23.057926739805495,1
8.607528015404071,622.4397239324692,8.189321364476072,53.224492070743636,0
7.963766656188053,149.81492432389575,0.6528876479133805,27.29081287995592,1
10.699224642794034,932.9104828788364,8.361119386866683,37.32301370008853,0
6.929135315395156,245.9256976715201,1.2979974179921292,25.486810342395252,1
9.848094857913123,1025.1359864246924,11.368313720700026,35.1,0
6.9413708463029895,322.4156159090681,1.3403959912331975,21.351751591852704,1
7.408448971351736,190.13247487631116,0.9538992830285598,19.00763606860535,1
7.932583506341742,193.94675165393357,1.0347442317485562,21.874954343383017,1
